source_mat_id,chlorophyll,chlorophyll_method,sea_surf_temp,sea_surf_temp_method,sea_subsurf_temp,sea_subsurf_temp_method,sea_surf_salinity,sea_surf_salinity_method,sea_subsurf_salinity,sea_subsurf_salinity_method,alkalinity,alkalinity_method,ammonium,ammonium_method,atmospheric_data,bacteria_carb_prod,bacteria_carb_prod_method,bac_prod,bac_prod_method,bac_resp,bac_resp_method,biomass,biomass_method,chem_administration,conduc,conduc_method,density,density_method,diss_carb_dioxide,diss_carb_dioxide_method,diss_hydrogen,diss_hydrogen_method,diss_inorg_carb,diss_inorg_carb_method,diss_org_carb,diss_org_carb_method,diss_org_nitro,diss_org_nitro_method,down_par,down_par_method,light_intensity,light_intensity_method,diss_oxygen,diss_oxygen_method,n_alkanes,n_alkanes_method,nitrate,nitrate_method,nitrite,nitrite_method,org_carb,org_carb_method,org_matter,org_matter_method,org_nitro,org_nitro_method,organism_count,organism_count_method,ph,ph_method,part_org_carb,part_org_carb_method,part_org_nitro,part_org_nitro_method,perturbation,petroleum_hydrocarb,petroleum_hydrocarb_method,phaeopigments,phaeopigments_method,phosphate,phosphate_method,pigments,pigments_method,pressure,pressure_method,primary_prod,primary_prod_method,redox_potential,redox_potential_method,silicate,silicate_method,sulfate,sulfate_method,sulfide,sulfide_method,tot_carb,tot_carb_method,tot_diss_nitro,tot_inorg_nitro,tot_nitro,tot_nitro_method,tot_part_carb,tot_part_carb_method,tot_phosp,tot_phosp_method,turbidity,water_current,water_current_method,misc_param,misc_param_method
EMO BON EMT21 Wa 220824  0.2um (2),,Chlorophyll extraction,19.3,Hach probe,18.48,SBE_37ODO,36.44,Hach probe,33.87,SBE_37ODO,,,Waiting for analysis,Segmented flow analysis,,,,,,,,,,,45.03,SBE_37ODO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.21,SBE_37ODO,-,-,Waiting for analysis,Segmented flow analysis,Waiting for analysis,Segmented flow analysis,-,-,-,-,-,-,-,-,7.8,Hach probe,-,-,-,-,-,-,-,-,-,Waiting for analysis,Segmented flow analysis,-,-,-,-,,,-,-,-,-,,,-,-,-,-,-,-,-,-,,,,,,,,,
EMO BON EMT21 Wa 220824  0.2um (3),,Chlorophyll extraction,19.3,Hach probe,18.48,SBE_37ODO,36.44,Hach probe,33.87,SBE_37ODO,,,Waiting for analysis,Segmented flow analysis,,,,,,,,,,,45.03,SBE_37ODO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.21,SBE_37ODO,-,-,Waiting for analysis,Segmented flow analysis,Waiting for analysis,Segmented flow analysis,-,-,-,-,-,-,-,-,7.8,Hach probe,-,-,-,-,-,-,-,-,-,Waiting for analysis,Segmented flow analysis,-,-,-,-,,,-,-,-,-,,,-,-,-,-,-,-,-,-,,,,,,,,,
EMO BON EMT21 Wa 220824  0.2um (4),,Chlorophyll extraction,19.3,Hach probe,18.48,SBE_37ODO,36.44,Hach probe,33.87,SBE_37ODO,,,Waiting for analysis,Segmented flow analysis,,,,,,,,,,,45.03,SBE_37ODO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.21,SBE_37ODO,-,-,Waiting for analysis,Segmented flow analysis,Waiting for analysis,Segmented flow analysis,-,-,-,-,-,-,-,-,7.8,Hach probe,-,-,-,-,-,-,-,-,-,Waiting for analysis,Segmented flow analysis,-,-,-,-,,,-,-,-,-,,,-,-,-,-,-,-,-,-,,,,,,,,,
"EMO BON EMT21 Wa 220824  0,2µm (BLANK)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON EMT21 Wa 221028 3um (1),,Chlorophyll extraction,17.3,Hach probe,17.06,SBE_37ODO,35.57,Hach probe,31.44,SBE_37ODO,,,Waiting for analysis,Segmented flow analysis,,,,,,,,,,,40.85,SBE_37ODO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.91,SBE_37ODO,-,-,Waiting for analysis,Segmented flow analysis,Waiting for analysis,Segmented flow analysis,-,-,-,-,-,-,-,-,8.14,Hach probe,-,-,-,-,-,-,-,-,-,Waiting for analysis,Segmented flow analysis,-,-,-,-,,,-,-,-,-,,,-,-,-,-,-,-,-,-,,,,,,,,,
EMO BON EMT21 Wa 221028 3um (2),,Chlorophyll extraction,17.3,Hach probe,17.06,SBE_37ODO,35.57,Hach probe,31.44,SBE_37ODO,,,Waiting for analysis,Segmented flow analysis,,,,,,,,,,,40.85,SBE_37ODO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.91,SBE_37ODO,-,-,Waiting for analysis,Segmented flow analysis,Waiting for analysis,Segmented flow analysis,-,-,-,-,-,-,-,-,8.14,Hach probe,-,-,-,-,-,-,-,-,-,Waiting for analysis,Segmented flow analysis,-,-,-,-,,,-,-,-,-,,,-,-,-,-,-,-,-,-,,,,,,,,,
EMO BON EMT21 Wa 221028  3um (3),,Chlorophyll extraction,17.3,Hach probe,17.06,SBE_37ODO,35.57,Hach probe,31.44,SBE_37ODO,,,Waiting for analysis,Segmented flow analysis,,,,,,,,,,,40.85,SBE_37ODO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.91,SBE_37ODO,-,-,Waiting for analysis,Segmented flow analysis,Waiting for analysis,Segmented flow analysis,-,-,-,-,-,-,-,-,8.14,Hach probe,-,-,-,-,-,-,-,-,-,Waiting for analysis,Segmented flow analysis,-,-,-,-,,,-,-,-,-,,,-,-,-,-,-,-,-,-,,,,,,,,,
EMO BON EMT21 Wa 221028 3um (4),,Chlorophyll extraction,17.3,Hach probe,17.06,SBE_37ODO,35.57,Hach probe,31.44,SBE_37ODO,,,Waiting for analysis,Segmented flow analysis,,,,,,,,,,,40.85,SBE_37ODO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.91,SBE_37ODO,-,-,Waiting for analysis,Segmented flow analysis,Waiting for analysis,Segmented flow analysis,-,-,-,-,-,-,-,-,8.14,Hach probe,-,-,-,-,-,-,-,-,-,Waiting for analysis,Segmented flow analysis,-,-,-,-,,,-,-,-,-,,,-,-,-,-,-,-,-,-,,,,,,,,,
EMO BON EMT21 Wa 221028  3µm (BLANK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON EMT21 Wa 221028  0.2um (1),,Chlorophyll extraction,17.3,Hach probe,17.06,SBE_37ODO,35.57,Hach probe,31.44,SBE_37ODO,,,Waiting for analysis,Segmented flow analysis,,,,,,,,,,,40.85,SBE_37ODO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.91,SBE_37ODO,-,-,Waiting for analysis,Segmented flow analysis,Waiting for analysis,Segmented flow analysis,-,-,-,-,-,-,-,-,8.14,Hach probe,-,-,-,-,-,-,-,-,-,Waiting for analysis,Segmented flow analysis,-,-,-,-,,,-,-,-,-,,,-,-,-,-,-,-,-,-,,,,,,,,,
EMO BON EMT21 Wa 221028  0.2um (2),,Chlorophyll extraction,17.3,Hach probe,17.06,SBE_37ODO,35.57,Hach probe,31.44,SBE_37ODO,,,Waiting for analysis,Segmented flow analysis,,,,,,,,,,,40.85,SBE_37ODO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.91,SBE_37ODO,-,-,Waiting for analysis,Segmented flow analysis,Waiting for analysis,Segmented flow analysis,-,-,-,-,-,-,-,-,8.14,Hach probe,-,-,-,-,-,-,-,-,-,Waiting for analysis,Segmented flow analysis,-,-,-,-,,,-,-,-,-,,,-,-,-,-,-,-,-,-,,,,,,,,,
EMO BON EMT21 Wa 221028  0.2um (3),,Chlorophyll extraction,17.3,Hach probe,17.06,SBE_37ODO,35.57,Hach probe,31.44,SBE_37ODO,,,Waiting for analysis,Segmented flow analysis,,,,,,,,,,,40.85,SBE_37ODO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.91,SBE_37ODO,-,-,Waiting for analysis,Segmented flow analysis,Waiting for analysis,Segmented flow analysis,-,-,-,-,-,-,-,-,8.14,Hach probe,-,-,-,-,-,-,-,-,-,Waiting for analysis,Segmented flow analysis,-,-,-,-,,,-,-,-,-,,,-,-,-,-,-,-,-,-,,,,,,,,,
EMO BON EMT21 Wa 221028  0.2um (4),,Chlorophyll extraction,17.3,Hach probe,17.06,SBE_37ODO,35.57,Hach probe,31.44,SBE_37ODO,,,Waiting for analysis,Segmented flow analysis,,,,,,,,,,,40.85,SBE_37ODO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.91,SBE_37ODO,-,-,Waiting for analysis,Segmented flow analysis,Waiting for analysis,Segmented flow analysis,-,-,-,-,-,-,-,-,8.14,Hach probe,-,-,-,-,-,-,-,-,-,Waiting for analysis,Segmented flow analysis,-,-,-,-,,,-,-,-,-,,,-,-,-,-,-,-,-,-,,,,,,,,,
"EMO BON EMT21 Wa 221028  0,2µm (BLANK)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON EMT21 Wa 221214 3um (1),,Chlorophyll extraction,15.8,Hach probe,,SBE_37ODO,35.54,Hach probe,,SBE_37ODO,,,Waiting for analysis,Segmented flow analysis,,,,,,,,,,,,SBE_37ODO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,SBE_37ODO,-,-,Waiting for analysis,Segmented flow analysis,Waiting for analysis,Segmented flow analysis,-,-,-,-,-,-,-,-,7.87,Hach probe,-,-,-,-,-,-,-,-,-,Waiting for analysis,Segmented flow analysis,-,-,-,-,,,-,-,-,-,,,-,-,-,-,-,-,-,-,,,,,,,,,
EMO BON EMT21 Wa 221214 3um (2),,Chlorophyll extraction,15.8,Hach probe,,SBE_37ODO,35.54,Hach probe,,SBE_37ODO,,,Waiting for analysis,Segmented flow analysis,,,,,,,,,,,,SBE_37ODO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,SBE_37ODO,-,-,Waiting for analysis,Segmented flow analysis,Waiting for analysis,Segmented flow analysis,-,-,-,-,-,-,-,-,7.87,Hach probe,-,-,-,-,-,-,-,-,-,Waiting for analysis,Segmented flow analysis,-,-,-,-,,,-,-,-,-,,,-,-,-,-,-,-,-,-,,,,,,,,,
EMO BON EMT21 Wa 221214  3um (3),,Chlorophyll extraction,15.8,Hach probe,,SBE_37ODO,35.54,Hach probe,,SBE_37ODO,,,Waiting for analysis,Segmented flow analysis,,,,,,,,,,,,SBE_37ODO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,SBE_37ODO,-,-,Waiting for analysis,Segmented flow analysis,Waiting for analysis,Segmented flow analysis,-,-,-,-,-,-,-,-,7.87,Hach probe,-,-,-,-,-,-,-,-,-,Waiting for analysis,Segmented flow analysis,-,-,-,-,,,-,-,-,-,,,-,-,-,-,-,-,-,-,,,,,,,,,
EMO BON EMT21 Wa 221214 3um (4),,Chlorophyll extraction,15.8,Hach probe,,SBE_37ODO,35.54,Hach probe,,SBE_37ODO,,,Waiting for analysis,Segmented flow analysis,,,,,,,,,,,,SBE_37ODO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,SBE_37ODO,-,-,Waiting for analysis,Segmented flow analysis,Waiting for analysis,Segmented flow analysis,-,-,-,-,-,-,-,-,7.87,Hach probe,-,-,-,-,-,-,-,-,-,Waiting for analysis,Segmented flow analysis,-,-,-,-,,,-,-,-,-,,,-,-,-,-,-,-,-,-,,,,,,,,,
EMO BON EMT21 Wa 221214  3µm (BLANK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMO BON EMT21 Wa 221214  0.2um (1),,Chlorophyll extraction,15.8,Hach probe,,SBE_37ODO,35.54,Hach probe,,SBE_37ODO,,,Waiting for analysis,Segmented flow analysis,,,,,,,,,,,,SBE_37ODO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,SBE_37ODO,-,-,Waiting for analysis,Segmented flow analysis,Waiting for analysis,Segmented flow analysis,-,-,-,-,-,-,-,-,7.87,Hach probe,-,-,-,-,-,-,-,-,-,Waiting for analysis,Segmented flow analysis,-,-,-,-,,,-,-,-,-,,,-,-,-,-,-,-,-,-,,,,,,,,,
EMO BON EMT21 Wa 221214  0.2um (2),,Chlorophyll extraction,15.8,Hach probe,,SBE_37ODO,35.54,Hach probe,,SBE_37ODO,,,Waiting for analysis,Segmented flow analysis,,,,,,,,,,,,SBE_37ODO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,SBE_37ODO,-,-,Waiting for analysis,Segmented flow analysis,Waiting for analysis,Segmented flow analysis,-,-,-,-,-,-,-,-,7.87,Hach probe,-,-,-,-,-,-,-,-,-,Waiting for analysis,Segmented flow analysis,-,-,-,-,,,-,-,-,-,,,-,-,-,-,-,-,-,-,,,,,,,,,
EMO BON EMT21 Wa 221214  0.2um (3),,Chlorophyll extraction,15.8,Hach probe,,SBE_37ODO,35.54,Hach probe,,SBE_37ODO,,,Waiting for analysis,Segmented flow analysis,,,,,,,,,,,,SBE_37ODO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,SBE_37ODO,-,-,Waiting for analysis,Segmented flow analysis,Waiting for analysis,Segmented flow analysis,-,-,-,-,-,-,-,-,7.87,Hach probe,-,-,-,-,-,-,-,-,-,Waiting for analysis,Segmented flow analysis,-,-,-,-,,,-,-,-,-,,,-,-,-,-,-,-,-,-,,,,,,,,,
EMO BON EMT21 Wa 221214  0.2um (4),,Chlorophyll extraction,15.8,Hach probe,,SBE_37ODO,35.54,Hach probe,,SBE_37ODO,,,Waiting for analysis,Segmented flow analysis,,,,,,,,,,,,SBE_37ODO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,SBE_37ODO,-,-,Waiting for analysis,Segmented flow analysis,Waiting for analysis,Segmented flow analysis,-,-,-,-,-,-,-,-,7.87,Hach probe,-,-,-,-,-,-,-,-,-,Waiting for analysis,Segmented flow analysis,-,-,-,-,,,-,-,-,-,,,-,-,-,-,-,-,-,-,,,,,,,,,
"EMO BON EMT21 Wa 221214  0,2µm (BLANK)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
